time,prices
10/16/2020,7.07
10/15/2020,7.04
10/14/2020,6.85
10/13/2020,6.95
10/12/2020,6.96
10/9/2020,6.86
9/30/2020,6.54
9/29/2020,6.5
9/28/2020,6.5
9/25/2020,6.66
9/24/2020,6.66
9/23/2020,6.7
9/22/2020,6.67
9/21/2020,6.84
9/18/2020,6.66
9/17/2020,6.52
9/16/2020,6.61
9/15/2020,6.61
9/14/2020,6.61
9/11/2020,6.64
9/10/2020,6.46
9/9/2020,6.7
9/8/2020,6.94
9/7/2020,6.88
9/4/2020,7.1
9/3/2020,7.15
9/2/2020,7.16
9/1/2020,7.15
8/31/2020,7.2
8/28/2020,7.09
8/27/2020,7.12
8/26/2020,7.1
8/25/2020,7.22
8/24/2020,7.32
8/21/2020,7.46
8/20/2020,7.28
8/19/2020,7.72
8/18/2020,7.55
8/17/2020,7.53
8/14/2020,7.55
8/13/2020,7.8
8/12/2020,7.33
8/11/2020,7.68
8/10/2020,6.98
8/7/2020,6.85
8/6/2020,6.94
8/5/2020,7.07
8/4/2020,7.05
8/3/2020,7.17
7/31/2020,7
7/30/2020,7.05
7/29/2020,7.15
7/28/2020,6.79
7/27/2020,6.79
7/24/2020,6.9
7/23/2020,7.29
7/22/2020,7.42
7/21/2020,7.37
7/20/2020,7.37
7/17/2020,7.2
7/16/2020,7.36
7/15/2020,7.65
7/14/2020,7.57
7/13/2020,7.86
7/10/2020,7.9
7/9/2020,7.73
7/8/2020,7.03
7/7/2020,6.72
7/6/2020,6.5
7/3/2020,6.25
7/2/2020,6.16
7/1/2020,6.12
6/30/2020,6.14
6/29/2020,6.12
6/24/2020,6.21
6/23/2020,6.25
6/22/2020,6.22
6/19/2020,6.21
6/18/2020,6.22
6/17/2020,6.21
6/16/2020,6.27
6/15/2020,6.31
6/12/2020,6.42
6/11/2020,6.43
6/10/2020,6.63
6/9/2020,6.47
6/8/2020,9.15
6/5/2020,9.26
6/4/2020,9.5
6/3/2020,9.49
6/2/2020,9.46
6/1/2020,9.4
5/29/2020,9.15
5/28/2020,9.34
5/27/2020,9.45
5/26/2020,9.64
5/25/2020,9.77
5/22/2020,9.86
5/21/2020,9.9
5/20/2020,9.58
5/19/2020,9.92
5/18/2020,9.46
5/15/2020,9.33
5/14/2020,9.22
5/13/2020,8.73
5/12/2020,8.86
5/11/2020,8.97
5/8/2020,9.28
5/7/2020,8.45
5/6/2020,8.56
4/30/2020,8.65
4/29/2020,8.8
4/28/2020,8.69
4/27/2020,8.89
4/24/2020,9.01
4/23/2020,9.2
4/22/2020,9.13
4/21/2020,9.16
4/20/2020,9.36
4/17/2020,9.55
4/16/2020,9.36
4/15/2020,9.86
4/14/2020,10.07
4/13/2020,10.16
4/10/2020,9.96
4/9/2020,10.05
4/8/2020,10.05
4/7/2020,10.28
4/3/2020,10.16
4/2/2020,10.29
4/1/2020,10.17
3/31/2020,10.5
3/30/2020,10.2
3/27/2020,10.75
3/26/2020,10.76
3/25/2020,10.72
3/24/2020,10.56
3/23/2020,10.31
3/20/2020,10.42
3/19/2020,10.25
3/18/2020,10.08
3/17/2020,10.1
3/16/2020,10.38
3/13/2020,10.79
3/12/2020,10.83
3/11/2020,11.1
3/10/2020,10.87
3/9/2020,10.61
3/6/2020,11.25
3/5/2020,11.3
3/4/2020,11.23
3/3/2020,11.29
3/2/2020,11.07
2/28/2020,10.6
2/27/2020,11.39
2/26/2020,11.27
2/25/2020,11.29
2/24/2020,11.52
2/21/2020,11.39
2/20/2020,11.29
2/19/2020,10.94
2/18/2020,10.79
2/17/2020,10.62
2/14/2020,10.46
2/13/2020,10.38
2/12/2020,10.75
2/11/2020,10.72
2/10/2020,10.41
2/7/2020,10.88
2/6/2020,10.59
2/5/2020,9.63
2/4/2020,9.4
2/3/2020,9.95
1/23/2020,11.05
1/22/2020,11.59
1/21/2020,11.76
1/20/2020,12
1/17/2020,12.18
1/16/2020,12.06
1/15/2020,12.07
1/14/2020,12.62
1/13/2020,11.47
1/10/2020,11.51
1/9/2020,11.45
1/8/2020,11.33
1/7/2020,11.35
1/6/2020,11.23
1/3/2020,11.28
1/2/2020,11.44
12/31/2019,10.95
12/30/2019,11.03
12/27/2019,11.11
12/26/2019,11.3
12/25/2019,11.27
12/24/2019,11.22
12/23/2019,11.24
12/20/2019,11.38
12/19/2019,11.47
12/18/2019,11.28
12/17/2019,11.39
12/16/2019,11.3
12/13/2019,11.36
12/12/2019,11.21
12/11/2019,11.2
12/10/2019,11.19
12/9/2019,11.32
12/6/2019,11.41
12/5/2019,11.41
12/4/2019,11.25
12/3/2019,11.32
12/2/2019,11.45
11/29/2019,11.53
11/28/2019,11.34
11/27/2019,11.32
11/26/2019,11.18
11/25/2019,11.28
11/22/2019,11.53
11/21/2019,11.69
11/20/2019,11.61
11/19/2019,11.83
11/18/2019,12.02
11/15/2019,11.36
11/14/2019,11.61
11/13/2019,11.68
11/12/2019,11.67
11/11/2019,11.86
11/8/2019,11.86
11/7/2019,11.99
11/6/2019,11.65
11/5/2019,11.61
11/4/2019,11.63
11/1/2019,11.83
10/31/2019,12.18
10/30/2019,12.44
10/29/2019,12.54
10/28/2019,12.7
10/25/2019,12.77
10/24/2019,12.63
10/23/2019,12.51
10/22/2019,12.57
10/21/2019,12.1
10/18/2019,12.24
10/17/2019,12.29
10/16/2019,12.18
10/15/2019,12.28
10/14/2019,12.4
10/11/2019,12.46
10/10/2019,12.3
10/9/2019,12.34
10/8/2019,12.17
9/30/2019,12.2
9/27/2019,12.11
9/26/2019,12.2
9/25/2019,12.47
9/24/2019,12.61
9/23/2019,12.76
9/20/2019,12.8
9/19/2019,12.89
9/18/2019,12.81
9/17/2019,12.79
9/16/2019,13.04
9/12/2019,12.94
9/11/2019,12.96
9/10/2019,13.13
9/9/2019,12.92
9/6/2019,12.62
9/5/2019,12.76
9/4/2019,12.77
9/3/2019,12.79
9/2/2019,12.65
8/30/2019,12.34
8/29/2019,12.47
8/28/2019,12.62
8/27/2019,12.38
8/26/2019,12.4
8/23/2019,12.44
8/22/2019,12.48
8/21/2019,12.18
8/20/2019,12.26
8/19/2019,12.2
8/16/2019,11.73
8/15/2019,11.92
8/14/2019,12.05
8/13/2019,11.61
8/12/2019,12.04
8/9/2019,12.21
8/8/2019,12.5
8/7/2019,12.61
8/6/2019,12.6
8/5/2019,12.86
8/2/2019,12.98
8/1/2019,13.17
7/31/2019,13.21
7/30/2019,13.24
7/29/2019,13.26
7/26/2019,13.26
7/25/2019,13.06
7/24/2019,13.06
7/23/2019,12.88
7/22/2019,12.66
7/19/2019,12.94
7/18/2019,12.84
7/17/2019,13.05
7/16/2019,13.27
7/15/2019,13.09
7/12/2019,12.9
7/11/2019,12.76
7/10/2019,13.25
7/9/2019,13.39
7/8/2019,13.35
7/5/2019,13.4
7/4/2019,13.39
7/3/2019,13.43
7/2/2019,13.38
7/1/2019,13.39
6/28/2019,13.08
6/27/2019,13.05
6/26/2019,12.85
6/25/2019,12.93
6/24/2019,12.97
6/21/2019,12.99
6/20/2019,12.93
6/19/2019,12.83
6/18/2019,12.96
6/17/2019,12.53
6/14/2019,12.69
6/13/2019,22.3
6/12/2019,22.25
6/11/2019,22.26
6/10/2019,21.65
6/6/2019,21.49
